   1 14101  389 15 1 1 1 2 21 68 4 41  389 68 4 4 9 0668 4 4 915 15 2-9 1 3-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 341879304135085404 443 19814016131 1 1 1
   1 24101  391 15 1 1 1 1 21 68 4 41  391 68 4 418 0668 4 41815 15 2-9 1 3-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 341879304135085404 443 19814016131 1 1 1
   2 11101   87  5 1 1 1 5 21 68 4 41   87 68 4 411 0668 4 411 5  5 2-9 1 1-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 683758608270170004 443 2 318021185-9-9-9
   3 15101   32 10 1 1 1 5 11 68 4 41   32 68 4 410 0668 4 41010 10 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-91161798703377842004 443 4 464621173-9-9-9
   3 25101   33 10 1 1 1 1 11 68 4 41   33 68 4 41025668 4 41035 10 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-91161798703377842004 443 4 464621173-9-9-9
   3 35101   35 15 1 1 1 4 11 68 4 41   35 68 4 41530668 4 41545 15 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-91161798703377842004 443 4 464621173-9-9-9
   3 45101   35 10 1 1 1 1 11 68 4 41   35 68 4 42130668 4 42140 10 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-91161798703377842004 443 4 464621173-9-9-9
   4 15101  441 15 1 1 1 6 21 68 4 41  441 68 4 4 745668 4 4 8 0 15 2-9 2 1-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 580899351688921004 443 3 263321141 510 1
   4 25101  727 10 1 1 1 2 21 68 4 41  727 68 4 4 8 5668 4 4 815 10 2-9 1 1-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 580899351688921004 443 3 263321141 510 1
   4 35101  822 15 1 1 1 6 21 68 4 41  822 68 4 41345668 4 414 0 15 2-9 1 1-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 580899351688921004 443 3 263321141 510 1
