   16666-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9 341879304135085404 443 19814016131 1 1 1
   21166 1 2 568 4 4 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 310   93 1 1 2 3 368 4 4 6 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 1-9 2056 6 2-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9 683758608270170004 443 2 318021185-9-9-9
   31166 1 5 468 4 4 6 6 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 1-9   32 1 3 2 4 468 4 4 6 6 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 1-9 1956 6 3-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-91161798703377842004 443 4 464621173-9-9-9
   41666 1 4 568 4 4 6 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 1-9  392 1 2-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9 580899351688921004 443 3 263321141 510 1
   56666-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9 341879304135085404 443 1 317416255-9-9-9
   61166 1 4 468 4 4 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 4 3  441 1 1 2 4 468 4 4 6 6 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 1-9 1974 6 3-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9 580899351688921004 443 4 362821143-9-9-9
   71116 1 5 368 4 4 6 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 1-9   65 1 2 2 4 468 4 4 6 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 8-9 2014 6 2 3 3 568 4 4 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 410  131 1 1-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9 683758608270170004 443 4 413421141 6 915
   86666-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9 683758608270170004 443 3 413721181 6 915
   96666-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9 580899351688921004 443 4 162721247-9-9-9
  106666-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9   -9-9-91161798703377842004 443 4 264821123-9-9-9
