has_descending_branch,max_flow,density_at_max,drop_pct,n_after_peak,level,road_class
False,7638.54058395135,77.73846904940895,0.6057283719340556,2,41 (baseline),Motorway
False,11345.677476099056,142.50455490495122,,0,41 (baseline),MotorwayLink
False,10949.495065524025,242.79483437196046,,1,41 (baseline),Trunk
False,3901.5022409253497,68.66054008001565,,0,41 (baseline),TrunkLink
False,51241.17513094967,641.2211595337548,,0,41 (baseline),Primary
False,5826.732400840344,116.5346824507471,,0,41 (baseline),PrimaryLink
False,24922.032114807495,418.3615760555479,,1,41 (baseline),Secondary
False,,,,0,41 (baseline),SecondaryLink
False,29333.15950720292,588.2961750129659,,0,41 (baseline),Tertiary
False,2061.7954458374925,68.72652312896336,,0,41 (baseline),TertiaryLink
False,17665.67706160905,588.855639946653,,0,41 (baseline),Residential
False,,,,0,41 (baseline),LivingStreet
False,8297.664898803061,276.5887744673452,,0,41 (baseline),Service
False,5589.0987733480715,186.30326873937997,,0,41 (baseline),Unclassified
False,11705.938378854178,118.12510712069124,,1,55,Motorway
False,12975.357633294767,163.00525800645923,,0,55,MotorwayLink
False,11559.765593642129,287.12413076759276,,0,55,Trunk
False,4051.1525529013006,68.51490985123968,,0,55,TrunkLink
False,70709.31922638767,1177.8806039570509,,0,55,Primary
False,5892.086436908029,117.84169484371301,,0,55,PrimaryLink
False,31491.792451592304,628.7664673288552,,0,55,Secondary
False,,,,0,55,SecondaryLink
False,38335.39208587127,766.8148870129385,,0,55,Tertiary
False,2061.7954458374925,68.07847738739645,,0,55,TertiaryLink
False,18250.811780899006,607.7982303950677,,0,55,Residential
False,,,,0,55,LivingStreet
False,9830.693610049153,327.6898002930996,,0,55,Service
False,7566.96766382485,252.23224570978752,,0,55,Unclassified
False,36442.04682197617,383.4643497139425,,0,70,Motorway
False,9766.01094027511,162.16456925607645,7.35655989475722,13,70,MotorwayLink
False,26814.032237063853,322.9898314205848,,0,70,Trunk
False,7055.782028907801,137.46468979450958,,0,70,TrunkLink
False,55621.90194185875,1941.759071646203,,0,70,Primary
False,12107.153351810755,396.585153541212,,0,70,PrimaryLink
True,28476.05638259164,711.357783316081,23.981154936606874,14,70,Secondary
False,,,,0,70,SecondaryLink
True,62192.43127983139,1472.633273016635,55.31865256781301,12,70,Tertiary
False,2043.1003366575333,67.88057706800582,,0,70,TertiaryLink
True,29951.720984515276,1181.5805447911846,28.677380305525524,38,70,Residential
False,,,,0,70,LivingStreet
False,31437.87526537836,1571.2757357222133,,0,70,Service
False,11117.95689012216,371.9322539508685,,1,70,Unclassified
False,43807.56687286305,508.21089817425536,,0,85,Motorway
True,9766.689307242877,163.2855398938315,18.365060281572674,14,85,MotorwayLink
True,27470.052184952634,367.4288825100082,51.64405036285462,9,85,Trunk
False,7323.906459812648,162.60093061653404,,1,85,TrunkLink
True,141505.8348034988,2468.458889555843,38.037570266792386,17,85,Primary
False,14585.797125067358,437.0563277916438,,1,85,PrimaryLink
False,50034.0207169851,2837.15473058076,,0,85,Secondary
False,,,,0,85,SecondaryLink
False,83282.33341955999,7078.9997498719395,,0,85,Tertiary
False,5454.296553333123,618.1316930881645,,0,85,TertiaryLink
True,50374.19896496763,4282.457381497171,11.022971702140294,6,85,Residential
False,321.81676724745097,32.03698040023034,,0,85,LivingStreet
True,53898.16615232595,2357.0159701297594,28.858981898576342,18,85,Service
False,29628.373170144776,1101.1106205148644,4.874517769572073,6,85,Unclassified
