road_class,n_edges,length_m,length_share,simulated_vkt_km,vkt_share,vkt_share_over_length_share,label
0,1908,1720194.9,0.04487944,16503433.544209972,0.20267090773197152,4.515896516234533,Motorway
1,4654,1057371.9,0.02758656,5543530.090914478,0.06807748657607715,2.4677772385396106,MotorwayLink
2,5653,769803.1,0.020083966,7473498.770019963,0.09177852448681013,4.569741140966521,Trunk
3,1391,164874.84,0.0043015424,686138.7363860343,0.008426147211179163,1.9588664706446355,TrunkLink
4,19810,1654652.1,0.043169446,20355424.222490355,0.2499753941135992,5.790562900367159,Primary
5,1044,57169.773,0.0014915447,268532.1530190423,0.0032977171121268793,2.2109409249998713,PrimaryLink
6,24126,1977462.8,0.051591493,10456117.34755742,0.1284066608627,2.488911503132159,Secondary
7,1008,39823.14,0.0010389754,161392.57693074713,0.0019819863533326572,1.9076354388008028,SecondaryLink
8,50432,3090002.5,0.08061737,11613990.638392584,0.14262595833577024,1.7691716001480315,Tertiary
9,1000,36261.543,0.0009460543,99774.8737616483,0.0012252883122743014,1.2951564418035637,TertiaryLink
10,298459,17722586.0,0.4623777,6867216.81783946,0.08433306089520233,0.18238998420670954,Residential
11,9454,574364.06,0.01498501,25631.194260907756,0.00031476464538103164,0.02100530095043578,LivingStreet
12,128977,7715205.5,0.20128773,815936.9494286787,0.010020138036716787,0.04978017269427519,Service
13,13873,1749466.1,0.04564312,559093.5756725047,0.006865965326858566,0.1504271657111511,Unclassified
