road_class,n_edges,length_m,length_share,simulated_vkt_km,vkt_share,vkt_share_over_length_share,label
0,395,476307.3,0.034065016,4994012.504282842,0.0641742746202592,1.8838762719904123,Motorway
1,1037,204488.61,0.014624818,2257625.948121557,0.029011042215117827,1.9836856610776397,MotorwayLink
2,954,239983.84,0.017163401,2800351.0218890104,0.035985191338169444,2.0966235277972944,Trunk
3,234,26997.027,0.0019308,174622.3792087227,0.00224394001988845,1.1621814691756234,TrunkLink
4,5329,346136.97,0.024755366,29177457.650346182,0.37493742323802765,15.145702997007012,Primary
5,427,26675.342,0.0019077935,453340.5754015836,0.005825536591543912,3.0535467945778043,PrimaryLink
6,14159,1460275.0,0.10443739,23126012.21395144,0.29717487840025125,2.8454836215862214,Secondary
7,705,31953.645,0.0022852924,172929.97913738893,0.002222192267584671,0.9723886075615595,SecondaryLink
8,16422,1738268.9,0.124319226,10227226.058222692,0.13142234087339447,1.0571360969495185,Tertiary
9,274,10038.98,0.0007179777,50141.60540281387,0.0006443318178040759,0.8974259449462423,TertiaryLink
10,92325,6362154.5,0.45501485,3573518.78203367,0.045920584996976335,0.10092106779749771,Residential
11,3313,230255.05,0.016467609,24993.00130089443,0.0003211661419935554,0.019502901211811537,LivingStreet
12,24065,1670403.0,0.11946553,442707.7499342046,0.005688902199670107,0.04761961214706015,Service
13,4918,1158363.1,0.08284496,344600.11783824465,0.00442819527931897,0.053451596835340114,Unclassified
