mode,road_class,road_class_label,n_total,n_valid_bins,bin_threshold_used,max_x_observed,x_at_max_flow,max_flow,n_bins_after_peak,slope_post_peak,has_descending_branch
car,0.0,Motorway,17917,11,100,1.04,0.9919643098532875,34581.80036902752,1,,False
car,1.0,MotorwayLink,17682,20,100,1.1410117173101801,0.899621464541467,8648.32242968877,4,-48733.553923084946,True
car,2.0,Trunk,21575,21,100,1.0666666666666667,0.7844332580244516,14119.800168622998,5,-48892.09957703172,True
car,3.0,TrunkLink,5099,8,100,1.0997622250962689,0.44999999999999996,3652.2635831309863,1,,False
car,4.0,Primary,169120,21,100,1.1276847383315762,0.825,14280.742545962552,4,-52160.67860791597,True
car,5.0,PrimaryLink,5701,12,100,1.1,0.8999999999999999,6700.696018854613,2,-42139.35757284592,True
car,6.0,Secondary,88282,22,100,1.1223601917943802,0.8999999999999999,8105.579980587376,4,-50872.88725216909,True
car,7.0,SecondaryLink,501,1,100,1.0666666666666667,0.15,1455.508736691192,0,,False
car,8.0,Tertiary,253270,22,100,1.1417579904018704,0.8999999999999999,6167.783935061067,4,-38342.856914464195,True
car,9.0,TertiaryLink,3341,6,100,1.1027718620268787,0.6,3703.771339445756,1,,False
car,10.0,Residential,331214,23,100,1.1421477487504998,0.9751528419204423,3387.6135673923372,3,-25916.69158987946,True
car,11.0,LivingStreet,3356,4,100,1.0869607610365806,0.3,506.774412537599,1,,False
car,12.0,Service,51760,23,100,1.140582369495362,0.8999999999999999,3214.445009127827,5,-10695.403989263035,True
car,13.0,Unclassified,97101,21,100,1.1299139883665548,0.8999999999999999,4129.4308936872285,3,-27095.511774652987,True
walk,,walk,4361661,29,100,4062.1404063666864,142.4447301578916,710.3813209676412,0,,False
bike,,bike,2931399,2,100,97.25400779436863,6.501406163494005,91.59093669575121,0,,False
