bin_start_s,flow_veh_h,hour,road_class,road_class_label
0.0,6.704151346450443,0.0,10,Residential
900.0,9.335371474030392,0.25,10,Residential
1800.0,10.911914999584184,0.5,10,Residential
2700.0,12.464312729001286,0.75,10,Residential
3600.0,13.143259959628034,1.0,10,Residential
4500.0,13.360438494707793,1.25,10,Residential
5400.0,13.238749528162094,1.5,10,Residential
6300.0,13.572081384856734,1.75,10,Residential
7200.0,13.922470683526122,2.0,10,Residential
8100.0,11.75584047089287,2.25,10,Residential
9000.0,12.9055277035987,2.5,10,Residential
9900.0,13.39227291778181,2.75,10,Residential
10800.0,12.36746977708475,3.0,10,Residential
11700.0,11.526508506653059,3.25,10,Residential
12600.0,12.274032238338249,3.5,10,Residential
13500.0,11.058383019505555,3.75,10,Residential
14400.0,12.206519388334469,4.0,10,Residential
15300.0,12.313511662546306,4.25,10,Residential
16200.0,12.699761267105163,4.5,10,Residential
17100.0,12.490423060973766,4.75,10,Residential
18000.0,15.466039912527405,5.0,10,Residential
18900.0,14.51761389918349,5.25,10,Residential
19800.0,15.90847677349361,5.5,10,Residential
20700.0,16.80761004483254,5.75,10,Residential
21600.0,26.42608366825433,6.0,10,Residential
22500.0,28.496391402434416,6.25,10,Residential
23400.0,30.235945215543964,6.5,10,Residential
24300.0,32.673379324790204,6.75,10,Residential
25200.0,49.68567635283889,7.0,10,Residential
26100.0,55.81048072102517,7.25,10,Residential
27000.0,61.240558100136084,7.5,10,Residential
27900.0,64.4600152217812,7.75,10,Residential
28800.0,67.08168489786044,8.0,10,Residential
29700.0,69.22759886962274,8.25,10,Residential
30600.0,70.43907204804566,8.5,10,Residential
31500.0,73.90622986365011,8.75,10,Residential
32400.0,70.05671928774477,9.0,10,Residential
33300.0,69.31056745032888,9.25,10,Residential
34200.0,70.96918794877901,9.5,10,Residential
35100.0,70.03956627198156,9.75,10,Residential
36000.0,69.09692744431844,10.0,10,Residential
36900.0,67.5474203170787,10.25,10,Residential
37800.0,67.25364583919256,10.5,10,Residential
38700.0,65.98511531647388,10.75,10,Residential
39600.0,66.41791603870871,11.0,10,Residential
40500.0,66.72423447531564,11.25,10,Residential
41400.0,63.50565038617978,11.5,10,Residential
42300.0,62.772315319687,11.75,10,Residential
43200.0,65.18814173939668,12.0,10,Residential
44100.0,63.673628048763895,12.25,10,Residential
45000.0,65.83637013638769,12.5,10,Residential
45900.0,66.65308140617675,12.75,10,Residential
46800.0,67.76844534743329,13.0,10,Residential
47700.0,69.02734703644062,13.25,10,Residential
48600.0,66.71871876245558,13.5,10,Residential
49500.0,68.9241967781432,13.75,10,Residential
50400.0,72.36507945123611,14.0,10,Residential
51300.0,73.31941127988206,14.25,10,Residential
52200.0,75.33547903239585,14.5,10,Residential
53100.0,75.37075991868905,14.75,10,Residential
54000.0,75.70467077341802,15.0,10,Residential
54900.0,77.9753370874348,15.25,10,Residential
55800.0,76.17790616761171,15.5,10,Residential
56700.0,76.26024116632645,15.75,10,Residential
57600.0,74.17017398654268,16.0,10,Residential
58500.0,76.11456946253874,16.25,10,Residential
59400.0,76.35443827470326,16.5,10,Residential
60300.0,75.07270579386861,16.75,10,Residential
61200.0,75.68836391071294,17.0,10,Residential
62100.0,75.92938363718152,17.25,10,Residential
63000.0,77.19837180290315,17.5,10,Residential
63900.0,77.57415124257201,17.75,10,Residential
64800.0,76.08460003995616,18.0,10,Residential
65700.0,77.55385114356997,18.25,10,Residential
66600.0,76.16645181889318,18.5,10,Residential
67500.0,76.2917704558479,18.75,10,Residential
68400.0,72.07214140160278,19.0,10,Residential
69300.0,74.02501881851516,19.25,10,Residential
70200.0,71.68246046756634,19.5,10,Residential
71100.0,72.029731206018,19.75,10,Residential
72000.0,65.4399561702578,20.0,10,Residential
72900.0,64.67065029708174,20.25,10,Residential
73800.0,64.96014372238602,20.5,10,Residential
74700.0,64.28106132565964,20.75,10,Residential
75600.0,56.20029837861949,21.0,10,Residential
76500.0,55.03598241192258,21.25,10,Residential
77400.0,54.132375648673175,21.5,10,Residential
78300.0,51.10604600601044,21.75,10,Residential
79200.0,46.85028952441975,22.0,10,Residential
80100.0,46.96724510901943,22.25,10,Residential
81000.0,44.27934597077947,22.5,10,Residential
81900.0,41.427662649542604,22.75,10,Residential
82800.0,36.35151214054585,23.0,10,Residential
83700.0,35.59446142292281,23.25,10,Residential
84600.0,33.59946016216829,23.5,10,Residential
