hour,utci_ambient_c,utci_building,utci_tree,utci_combined,building_shadow_fraction
0,23.942322,23.94232177734375,23.94232177734375,23.94232177734375,0.0
1,23.737915,23.7379150390625,23.7379150390625,23.7379150390625,0.0
2,23.40802,23.40802001953125,23.40802001953125,23.40802001953125,0.0
3,23.447845,23.447845458984375,23.447845458984375,23.447845458984375,0.0
4,23.127228,23.127227783203125,23.127227783203125,23.127227783203125,0.0
5,23.162231,22.5622314453125,22.481803181602555,21.94984600797355,0.1
6,27.512695,27.5126953125,26.024904759037415,26.024904759037415,0.0
7,30.67575,30.675750732421875,28.412749687041416,28.412749687041416,0.0
8,32.873627,32.873626708984375,29.920396283449097,29.920396283449097,0.0
9,34.256165,34.25616455078125,31.202593122209823,31.202593122209823,0.0
10,34.866547,34.866546630859375,31.812975202287948,31.812975202287948,0.0
11,34.850525,34.85052490234375,31.796953473772323,31.796953473772323,0.0
12,34.817017,34.8170166015625,31.763445172991073,31.763445172991073,0.0
13,34.936188,34.936187744140625,31.882616315569198,31.882616315569198,0.0
14,35.135284,35.135284423828125,32.081712995256694,32.081712995256694,0.0
15,34.953094,34.953094482421875,32.108867443708704,32.108867443708704,0.0
16,34.293854,34.293853759765625,32.157789846864354,32.157789846864354,0.0
17,33.45169,33.451690673828125,32.100120442696884,32.100120442696884,0.0
18,32.215973,32.215972900390625,31.671764959012027,31.671764959012023,0.0
19,29.360565,25.760565185546874,29.360565185546875,25.760565185546874,0.6
20,25.718567,25.71856689453125,25.71856689453125,25.71856689453125,0.0
21,25.694153,25.69415283203125,25.69415283203125,25.69415283203125,0.0
22,24.567902,24.567901611328125,24.567901611328125,24.567901611328125,0.0
23,24.385803,24.38580322265625,24.38580322265625,24.38580322265625,0.0
