hour,utci_ambient_c,city,date
0,7.3181763,palma_de_mallorca,2022-01-15
1,6.9931946,palma_de_mallorca,2022-01-15
2,6.365509,palma_de_mallorca,2022-01-15
3,6.1532593,palma_de_mallorca,2022-01-15
4,5.977295,palma_de_mallorca,2022-01-15
5,5.769806,palma_de_mallorca,2022-01-15
6,6.9842224,palma_de_mallorca,2022-01-15
7,4.40979,palma_de_mallorca,2022-01-15
8,8.387054,palma_de_mallorca,2022-01-15
9,15.218079,palma_de_mallorca,2022-01-15
10,18.62497,palma_de_mallorca,2022-01-15
11,17.504913,palma_de_mallorca,2022-01-15
12,17.216492,palma_de_mallorca,2022-01-15
13,16.6604,palma_de_mallorca,2022-01-15
14,16.54364,palma_de_mallorca,2022-01-15
15,14.354126,palma_de_mallorca,2022-01-15
16,13.215485,palma_de_mallorca,2022-01-15
17,8.054962,palma_de_mallorca,2022-01-15
18,3.7037964,palma_de_mallorca,2022-01-15
19,2.7171936,palma_de_mallorca,2022-01-15
20,3.5620728,palma_de_mallorca,2022-01-15
21,3.708496,palma_de_mallorca,2022-01-15
22,3.8122559,palma_de_mallorca,2022-01-15
23,4.4498596,palma_de_mallorca,2022-01-15
0,14.68161,palma_de_mallorca,2022-06-05
1,14.274384,palma_de_mallorca,2022-06-05
2,14.921295,palma_de_mallorca,2022-06-05
3,14.984833,palma_de_mallorca,2022-06-05
4,14.35144,palma_de_mallorca,2022-06-05
5,15.608032,palma_de_mallorca,2022-06-05
6,19.988678,palma_de_mallorca,2022-06-05
7,25.425262,palma_de_mallorca,2022-06-05
8,27.56784,palma_de_mallorca,2022-06-05
9,29.46701,palma_de_mallorca,2022-06-05
10,30.40979,palma_de_mallorca,2022-06-05
11,31.046875,palma_de_mallorca,2022-06-05
12,31.743652,palma_de_mallorca,2022-06-05
13,32.642395,palma_de_mallorca,2022-06-05
14,33.508636,palma_de_mallorca,2022-06-05
15,33.840393,palma_de_mallorca,2022-06-05
16,33.765533,palma_de_mallorca,2022-06-05
17,33.114563,palma_de_mallorca,2022-06-05
18,31.29123,palma_de_mallorca,2022-06-05
19,25.3591,palma_de_mallorca,2022-06-05
20,22.409119,palma_de_mallorca,2022-06-05
21,21.608093,palma_de_mallorca,2022-06-05
22,21.70514,palma_de_mallorca,2022-06-05
23,21.157166,palma_de_mallorca,2022-06-05
0,23.942322,palma_de_mallorca,2022-07-14
1,23.737915,palma_de_mallorca,2022-07-14
2,23.40802,palma_de_mallorca,2022-07-14
3,23.447845,palma_de_mallorca,2022-07-14
4,23.127228,palma_de_mallorca,2022-07-14
5,23.162231,palma_de_mallorca,2022-07-14
6,27.512695,palma_de_mallorca,2022-07-14
7,30.67575,palma_de_mallorca,2022-07-14
8,32.873627,palma_de_mallorca,2022-07-14
9,34.256165,palma_de_mallorca,2022-07-14
10,34.866547,palma_de_mallorca,2022-07-14
11,34.850525,palma_de_mallorca,2022-07-14
12,34.817017,palma_de_mallorca,2022-07-14
13,34.936188,palma_de_mallorca,2022-07-14
14,35.135284,palma_de_mallorca,2022-07-14
15,34.953094,palma_de_mallorca,2022-07-14
16,34.293854,palma_de_mallorca,2022-07-14
17,33.45169,palma_de_mallorca,2022-07-14
18,32.215973,palma_de_mallorca,2022-07-14
19,29.360565,palma_de_mallorca,2022-07-14
20,25.718567,palma_de_mallorca,2022-07-14
21,25.694153,palma_de_mallorca,2022-07-14
22,24.567902,palma_de_mallorca,2022-07-14
23,24.385803,palma_de_mallorca,2022-07-14
0,-8.570221,madrid,2022-01-15
1,-8.178955,madrid,2022-01-15
2,-8.327484,madrid,2022-01-15
3,-8.44928,madrid,2022-01-15
4,-7.7044373,madrid,2022-01-15
5,-7.186157,madrid,2022-01-15
6,-6.9060974,madrid,2022-01-15
7,-7.4268494,madrid,2022-01-15
8,-5.3580933,madrid,2022-01-15
9,5.51947,madrid,2022-01-15
10,14.140106,madrid,2022-01-15
11,15.694,madrid,2022-01-15
12,15.657043,madrid,2022-01-15
13,15.621674,madrid,2022-01-15
14,15.281189,madrid,2022-01-15
15,14.648712,madrid,2022-01-15
16,12.833496,madrid,2022-01-15
17,3.8073425,madrid,2022-01-15
18,-3.5596924,madrid,2022-01-15
19,-5.153015,madrid,2022-01-15
20,-5.4424744,madrid,2022-01-15
21,-4.6025085,madrid,2022-01-15
22,-4.7658386,madrid,2022-01-15
23,-5.5541687,madrid,2022-01-15
0,8.947662,madrid,2022-06-05
1,8.394714,madrid,2022-06-05
2,8.165619,madrid,2022-06-05
3,7.7412415,madrid,2022-06-05
4,7.369934,madrid,2022-06-05
5,7.313263,madrid,2022-06-05
6,13.787109,madrid,2022-06-05
7,20.511353,madrid,2022-06-05
8,25.224792,madrid,2022-06-05
9,26.446075,madrid,2022-06-05
10,26.879395,madrid,2022-06-05
11,26.963837,madrid,2022-06-05
12,27.518799,madrid,2022-06-05
13,28.563263,madrid,2022-06-05
14,29.36383,madrid,2022-06-05
15,29.860931,madrid,2022-06-05
16,29.512756,madrid,2022-06-05
17,28.182434,madrid,2022-06-05
18,25.710999,madrid,2022-06-05
19,21.978851,madrid,2022-06-05
20,16.104462,madrid,2022-06-05
21,14.00116,madrid,2022-06-05
22,13.517029,madrid,2022-06-05
23,13.169861,madrid,2022-06-05
0,20.581024,madrid,2022-07-14
1,20.111328,madrid,2022-07-14
2,19.536377,madrid,2022-07-14
3,18.84378,madrid,2022-07-14
4,18.185486,madrid,2022-07-14
5,17.839325,madrid,2022-07-14
6,22.790924,madrid,2022-07-14
7,27.859406,madrid,2022-07-14
8,32.119446,madrid,2022-07-14
9,34.52066,madrid,2022-07-14
10,36.388184,madrid,2022-07-14
11,37.83667,madrid,2022-07-14
12,38.86856,madrid,2022-07-14
13,39.46521,madrid,2022-07-14
14,40.03366,madrid,2022-07-14
15,40.545807,madrid,2022-07-14
16,40.299194,madrid,2022-07-14
17,39.17868,madrid,2022-07-14
18,37.799377,madrid,2022-07-14
19,34.323364,madrid,2022-07-14
20,28.594147,madrid,2022-07-14
21,24.826843,madrid,2022-07-14
22,23.039398,madrid,2022-07-14
23,21.886566,madrid,2022-07-14
0,-8.597992,bilbao,2022-01-15
1,-9.157867,bilbao,2022-01-15
2,-9.482361,bilbao,2022-01-15
3,-9.698517,bilbao,2022-01-15
4,-9.99646,bilbao,2022-01-15
5,-10.226715,bilbao,2022-01-15
6,-10.4028015,bilbao,2022-01-15
7,-12.280487,bilbao,2022-01-15
8,-11.88266,bilbao,2022-01-15
9,-3.4463806,bilbao,2022-01-15
10,5.0798035,bilbao,2022-01-15
11,11.001526,bilbao,2022-01-15
12,14.335724,bilbao,2022-01-15
13,15.843353,bilbao,2022-01-15
14,16.316315,bilbao,2022-01-15
15,17.095459,bilbao,2022-01-15
16,14.228119,bilbao,2022-01-15
17,8.2404175,bilbao,2022-01-15
18,-4.7295837,bilbao,2022-01-15
19,-6.741852,bilbao,2022-01-15
20,-5.4906616,bilbao,2022-01-15
21,-6.2801514,bilbao,2022-01-15
