month,canopy_type,heat_benefit,cold_cost
1,deciduous,0.0,0.0
1,evergreen,0.0,8575.059415499447
2,deciduous,0.0,0.0
2,evergreen,0.0,2703.0765805146657
3,deciduous,0.0,0.0
3,evergreen,0.0,74677.85333901318
4,deciduous,0.0,1274.9333295212127
4,evergreen,0.0,2549.866659042891
5,deciduous,16861.76276777981,936.8581298822372
5,evergreen,16861.76276777981,936.8581298822372
6,deciduous,267333.86588962516,0.0
6,evergreen,267333.86588962516,0.0
7,deciduous,302897.749381232,0.0
7,evergreen,302897.749381232,0.0
8,deciduous,293281.8086032234,0.0
8,evergreen,293281.8086032234,0.0
9,deciduous,184819.7508143841,0.0
9,evergreen,184819.7508143841,0.0
10,deciduous,87274.22155057127,0.0
10,evergreen,119411.17167218868,0.0
11,deciduous,0.0,0.0
11,evergreen,0.0,0.0
12,deciduous,0.0,0.0
12,evergreen,0.0,1108.0606157372677
