date,phenology,building_coef_ratio,building_coefficient_c,tree_coefficient_c,combined_heat_benefit,tree_heat_benefit_given_buildings,building_heat_benefit,combined_cold_cost,tree_cold_cost_given_buildings,building_cold_cost
2022-02-08,evergreen,0.25,1.5,6.0,0.0,0.0,0.0,43477.06077707605,15598.824000239372,27878.23677683668
2022-02-08,evergreen,0.5,3.0,6.0,0.0,0.0,0.0,90844.72157583851,15562.529709971044,75282.19186586747
2022-02-08,evergreen,0.75,4.5,6.0,0.0,0.0,0.0,151462.7574600889,15229.831461219115,136232.92599886982
2022-02-08,evergreen,1.0,6.0,6.0,0.0,0.0,0.0,216221.84937348543,14609.213161248248,201612.6362122372
2022-02-08,deciduous,0.25,1.5,6.0,0.0,0.0,0.0,27878.23677683668,0.0,27878.23677683668
2022-02-08,deciduous,0.5,3.0,6.0,0.0,0.0,0.0,75282.19186586747,0.0,75282.19186586747
2022-02-08,deciduous,0.75,4.5,6.0,0.0,0.0,0.0,136232.92599886982,0.0,136232.92599886982
2022-02-08,deciduous,1.0,6.0,6.0,0.0,0.0,0.0,201612.6362122372,0.0,201612.6362122372
2022-07-14,evergreen,0.25,1.5,6.0,410082.6250072978,336010.9502718942,74071.67473540362,0.0,0.0,0.0
2022-07-14,evergreen,0.5,3.0,6.0,480753.7873258665,334292.9440383953,146460.84328747122,0.0,0.0,0.0
2022-07-14,evergreen,0.75,4.5,6.0,533024.4138503512,332664.64684175234,200359.7670085989,0.0,0.0,0.0
2022-07-14,evergreen,1.0,6.0,6.0,575845.9492113739,331097.34775281884,244748.6014585551,0.0,0.0,0.0
2022-07-14,deciduous,0.25,1.5,6.0,410082.6250072978,336010.9502718942,74071.67473540362,0.0,0.0,0.0
2022-07-14,deciduous,0.5,3.0,6.0,480753.7873258665,334292.9440383953,146460.84328747122,0.0,0.0,0.0
2022-07-14,deciduous,0.75,4.5,6.0,533024.4138503512,332664.64684175234,200359.7670085989,0.0,0.0,0.0
2022-07-14,deciduous,1.0,6.0,6.0,575845.9492113739,331097.34775281884,244748.6014585551,0.0,0.0,0.0
2022-07-02,evergreen,0.25,1.5,6.0,309476.62136068987,271168.9843635452,38307.63699714467,0.0,0.0,0.0
2022-07-02,evergreen,0.5,3.0,6.0,340206.04300403246,269884.958349732,70321.08465430047,0.0,0.0,0.0
2022-07-02,evergreen,0.75,4.5,6.0,370397.1474545726,268636.7088666202,101760.4385879524,0.0,0.0,0.0
2022-07-02,evergreen,1.0,6.0,6.0,398349.1294820602,267462.8787032417,130886.2507788185,0.0,0.0,0.0
2022-07-02,deciduous,0.25,1.5,6.0,309476.62136068987,271168.9843635452,38307.63699714467,0.0,0.0,0.0
2022-07-02,deciduous,0.5,3.0,6.0,340206.04300403246,269884.958349732,70321.08465430047,0.0,0.0,0.0
2022-07-02,deciduous,0.75,4.5,6.0,370397.1474545726,268636.7088666202,101760.4385879524,0.0,0.0,0.0
2022-07-02,deciduous,1.0,6.0,6.0,398349.1294820602,267462.8787032417,130886.2507788185,0.0,0.0,0.0
2022-12-25,evergreen,0.25,1.5,6.0,0.0,0.0,0.0,1224.443405221682,1224.443405221682,0.0
2022-12-25,evergreen,0.5,3.0,6.0,0.0,0.0,0.0,1269.8294048491443,1269.8294048491443,0.0
2022-12-25,evergreen,0.75,4.5,6.0,0.0,0.0,0.0,8321.343306559902,1469.6224385374735,6851.7208680224285
2022-12-25,evergreen,1.0,6.0,6.0,0.0,0.0,0.0,18948.32737585925,1338.0774900592223,17610.249885800033
2022-12-25,deciduous,0.25,1.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-25,deciduous,0.5,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-25,deciduous,0.75,4.5,6.0,0.0,0.0,0.0,6851.7208680224285,0.0,6851.7208680224285
2022-12-25,deciduous,1.0,6.0,6.0,0.0,0.0,0.0,17610.249885800033,0.0,17610.249885800033
