city,date,mobility_mode,scenario,n_agents,n_completed,completion_rate,teleport_rate,status,status_note
palma_de_mallorca,2022-01-15,car,weekday_full_car,566636.0,542652.0,0.9577,0.0162,PROVISIONAL,"teleport 1.28-1.87%, ABOVE 1% threshold -- flagged, not auto-validated"
palma_de_mallorca,2022-04-10,car,weekday_full_car,566636.0,542652.0,0.9577,0.0162,PROVISIONAL,"teleport 1.28-1.87%, ABOVE 1% threshold -- flagged, not auto-validated"
palma_de_mallorca,2022-06-05,car,weekday_full_car,566636.0,542652.0,0.9577,0.0162,PROVISIONAL,"teleport 1.28-1.87%, ABOVE 1% threshold -- flagged, not auto-validated"
palma_de_mallorca,2022-07-20,car,weekday_full_car,713192.0,688420.0,0.9653,0.0128,PROVISIONAL,"teleport 1.28-1.87%, ABOVE 1% threshold -- flagged, not auto-validated"
palma_de_mallorca,2022-10-28,car,weekday_full_car,713192.0,688420.0,0.9653,0.0128,PROVISIONAL,"teleport 1.28-1.87%, ABOVE 1% threshold -- flagged, not auto-validated"
zaragoza,2022-01-15,car,weekday_full_car,418785.0,387700.0,0.9258,0.0001,VALIDATED,
zaragoza,2022-04-10,car,weekday_full_car,418785.0,387700.0,0.9258,0.0001,VALIDATED,
zaragoza,2022-06-05,car,weekday_full_car,418785.0,387700.0,0.9258,0.0001,VALIDATED,
zaragoza,2022-07-20,car,weekday_full_car,599230.0,564628.0,0.9423,0.0,VALIDATED,
zaragoza,2022-10-28,car,weekday_full_car,599230.0,564628.0,0.9423,0.0,VALIDATED,
murcia,2022-01-15,car,weekday_full_car,417082.0,381168.0,0.9139,0.0,VALIDATED,
murcia,2022-04-10,car,weekday_full_car,417082.0,381168.0,0.9139,0.0,VALIDATED,
murcia,2022-06-05,car,weekday_full_car,417082.0,381168.0,0.9139,0.0,VALIDATED,
murcia,2022-07-20,car,weekday_full_car,574530.0,535487.0,0.932,0.0001,VALIDATED,
murcia,2022-10-28,car,weekday_full_car,574530.0,535487.0,0.932,0.0001,VALIDATED,
valladolid,2022-01-15,car,weekday_full_car,269921.0,248887.0,0.9221,0.0,VALIDATED,
valladolid,2022-04-10,car,weekday_full_car,269921.0,248887.0,0.9221,0.0,VALIDATED,
valladolid,2022-06-05,car,weekday_full_car,269921.0,248887.0,0.9221,0.0,VALIDATED,
valladolid,2022-07-20,car,weekday_full_car,361021.0,339447.0,0.9402,0.0001,VALIDATED,
valladolid,2022-10-28,car,weekday_full_car,361021.0,339447.0,0.9402,0.0001,VALIDATED,
a_coruna,2022-01-15,car,weekday_full_car,282572.0,260226.0,0.9209,0.0,VALIDATED,
